Threshold,Target,Model,Metrics,Accuracy
3dB,ITR,KNN,PowerVariability + FreqEntropy,0.3333333333333333
3dB,BCI,KNN,PowerVariability + StrongResponses,0.42857142857142855
3dB,ITR,KNN,PowerVariability + StrongResponses,0.3333333333333333
3dB,BCI,KNN,DetectedTimePercentage + DetectionTime,0.38095238095238093
3dB,ITR,KNN,DetectedTimePercentage + DetectionTime,0.2857142857142857
3dB,BCI,KNN,DetectedTimePercentage + DetectionRate,0.6666666666666666
3dB,ITR,KNN,DetectedTimePercentage + DetectionRate,0.23809523809523808
3dB,BCI,KNN,DetectedTimePercentage + DetectionPctVar,0.5714285714285714
3dB,ITR,KNN,DetectedTimePercentage + DetectionPctVar,0.2857142857142857
3dB,BCI,KNN,DetectedTimePercentage + EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,DetectedTimePercentage + EarlyDetectionRatio,0.2857142857142857
3dB,BCI,KNN,DetectedTimePercentage + PowerSkewness,0.5714285714285714
3dB,ITR,KNN,DetectedTimePercentage + PowerSkewness,0.09523809523809523
3dB,BCI,KNN,DetectedTimePercentage + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,DetectedTimePercentage + RobustnessIndex,0.14285714285714285
3dB,BCI,KNN,DetectedTimePercentage + FreqEntropy,0.6190476190476191
3dB,ITR,KNN,DetectedTimePercentage + FreqEntropy,0.38095238095238093
3dB,BCI,KNN,DetectedTimePercentage + StrongResponses,0.5238095238095238
3dB,ITR,KNN,DetectedTimePercentage + StrongResponses,0.14285714285714285
3dB,BCI,KNN,DetectionTime + DetectionRate,0.6666666666666666
3dB,ITR,KNN,DetectionTime + DetectionRate,0.3333333333333333
3dB,BCI,KNN,DetectionTime + DetectionPctVar,0.3333333333333333
3dB,ITR,KNN,DetectionTime + DetectionPctVar,0.2857142857142857
3dB,BCI,KNN,DetectionTime + EarlyDetectionRatio,0.38095238095238093
3dB,ITR,KNN,DetectionTime + EarlyDetectionRatio,0.2857142857142857
3dB,BCI,KNN,DetectionTime + PowerSkewness,0.42857142857142855
3dB,ITR,KNN,DetectionTime + PowerSkewness,0.42857142857142855
3dB,BCI,KNN,DetectionTime + RobustnessIndex,0.3333333333333333
3dB,ITR,KNN,DetectionTime + RobustnessIndex,0.19047619047619047
3dB,BCI,KNN,DetectionTime + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,DetectionTime + FreqEntropy,0.47619047619047616
3dB,BCI,KNN,DetectionTime + StrongResponses,0.38095238095238093
3dB,ITR,KNN,DetectionTime + StrongResponses,0.42857142857142855
3dB,BCI,KNN,DetectionRate + DetectionPctVar,0.7142857142857143
3dB,ITR,KNN,DetectionRate + DetectionPctVar,0.47619047619047616
3dB,BCI,KNN,DetectionRate + EarlyDetectionRatio,0.47619047619047616
3dB,ITR,KNN,DetectionRate + EarlyDetectionRatio,0.3333333333333333
3dB,BCI,KNN,DetectionRate + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,DetectionRate + PowerSkewness,0.47619047619047616
3dB,BCI,KNN,DetectionRate + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,DetectionRate + RobustnessIndex,0.5714285714285714
3dB,BCI,KNN,DetectionRate + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,DetectionRate + FreqEntropy,0.5238095238095238
3dB,BCI,KNN,DetectionRate + StrongResponses,0.5714285714285714
3dB,ITR,KNN,DetectionRate + StrongResponses,0.2857142857142857
3dB,BCI,KNN,DetectionPctVar + EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,DetectionPctVar + EarlyDetectionRatio,0.19047619047619047
3dB,BCI,KNN,DetectionPctVar + PowerSkewness,0.38095238095238093
3dB,ITR,KNN,DetectionPctVar + PowerSkewness,0.47619047619047616
3dB,BCI,KNN,DetectionPctVar + RobustnessIndex,0.5238095238095238
