Subject,SignalDetected,AvgPower,PowerVariability,DetectedTimePercentage,DetectionTime,DetectionRate,DetectionPctVar,EarlyDetectionRatio,PowerSkewness,RobustnessIndex,FreqEntropy,StrongResponses
1,81,8.8931875,0.0,91.875,0.0,0.50625,18.229166666666668,0.91875,-1.295049244176192,0.0,3.3181504392999126,147
2,46,1.161,0.0,35.0,0.0,0.2875,37.5,0.35,-0.25493473704646724,0.0,3.1616430308706556,56
3,130,8.12875,0.0,89.375,0.0,0.8125,64.0625,0.89375,-1.1299207647573677,0.0,3.604972260925469,143
4,34,-2.0776874999999997,0.0,12.5,0.0,0.2125,12.5,0.125,-0.9027550849501552,0.0,2.9247541817777023,20
5,34,-0.06262500000000007,0.0,30.625,0.0,0.2125,18.229166666666668,0.30625,-0.5453202434787427,0.0,2.924754179548211,49
6,29,-1.6199999999999999,0.0,15.0,0.0,0.18125,4.166666666666667,0.15,-0.4256015774923536,0.0,2.984869853974686,24
7,35,2.9093124999999995,0.0,55.625,0.0,0.21875,51.5625,0.55625,-0.9565635297607545,0.0,2.9709304689006797,89
8,78,0.09949999999999996,0.0,26.875,0.0,0.4875,51.5625,0.26875,-1.3681554176995268,0.0,3.472067524121967,43
9,121,2.8545625,0.0,56.25,0.0,0.75625,72.91666666666667,0.5625,-0.969835435000978,0.0,3.6180820732553105,90
10,92,5.8603749999999994,0.0,76.25,0.0,0.575,10.416666666666666,0.7625,-1.4129264501148366,0.0,3.4891601380304715,122
11,6,-3.59,0.0,5.625,0.0,0.0375,14.0625,0.05625,-0.5801223824561106,0.0,1.7917599301993965,9
12,23,-0.8458124999999999,0.0,27.5,0.0,0.14375,75.0,0.275,-0.9589150375380324,0.0,2.69082870869587,44
13,34,1.2836875,0.0,40.625,0.0,0.2125,68.22916666666667,0.40625,-1.485847336142667,0.0,3.1032372771963757,65
14,60,2.4675625000000005,0.0,48.125,0.0,0.375,30.729166666666668,0.48125,-0.6132996042423773,0.0,3.3257676756495433,77
15,62,5.1365,0.0,71.25,0.0,0.3875,35.416666666666664,0.7125,-0.8787708860280752,0.0,3.3247110268473627,114
16,106,3.4956875,2.6903125,63.958937500000005,0.4965034965034965,0.6625,11.285104223958347,0.78125,-0.724927414478175,128.81870510563382,3.5122975329892414,112
17,25,5.046437500000001,3.763125,69.584125,0.4968152866242038,0.15625,8.1013426041667,0.875,-0.12865242809099525,140.06035416666666,2.788853625907483,124
18,157,8.304875,1.8691875,96.042,0.06289308176100629,0.98125,10.357453750000037,0.99375,-11.254806163591882,1527.0678,3.6864427732276503,159
19,119,6.561875000000001,2.4184375,85.4171875,0.17721518987341772,0.74375,10.417291682291683,0.95,-0.7863162899285576,481.9969866071429,3.5919572848259187,145
20,40,4.679125,3.7298125,66.2509375,0.46357615894039733,0.25,1.158217807291653,0.89375,-0.2266079973476222,142.91273660714288,3.19059525365112,121
21,54,0.9948125000000001,3.4338125000000006,38.7495,0.967479674796748,0.3375,20.602731541666653,0.55,-0.5791078471582634,40.05200420168067,3.385438346032063,54
22,52,3.0461875,2.8203125,55.4166875,0.5944055944055944,0.325,74.30895859895837,0.75625,-0.694929450022543,93.23042720588236,3.1444027615503307,89
