Subject,SignalDetected,AvgPower,PowerVariability,DetectedTimePercentage,DetectionTime,DetectionRate,DetectionPctVar,EarlyDetectionRatio,PowerSkewness,RobustnessIndex,FreqEntropy,StrongResponses
55,38,3.4307500000000006,3.4006875,41.2498125,0.7768595041322314,0.2375,17.82696776562501,0.6125,0.12348661237630269,53.098162898936174,3.1447302723727626,63
56,138,3.0780625000000006,1.9471874999999996,32.0828125,0.7835051546391752,0.8625,36.3442824322917,0.49375,-0.8335110429377457,40.94780016447369,3.613740908868512,43
57,124,6.713062500000001,2.3211875,74.79231250000001,0.37748344370860926,0.775,37.20744226562496,0.875,-0.7827786169065338,198.13402083333338,3.486927303474742,130
58,33,3.3799374999999996,3.2818750000000003,40.8330625,0.8347107438016529,0.20625,8.332638932291664,0.5875,-0.25087304114366493,48.91881745049504,3.0185534825362836,61
59,12,-2.6698749999999998,3.5616875,2.083125,0.8,0.075,4.397268562499998,0.05,-0.7313834454940734,2.6039062499999996,2.4849068395997316,0
60,49,-0.412875,3.2100625000000003,9.791187499999998,0.8205128205128205,0.30625,2.9520488072916664,0.1875,-0.5968789463368543,11.933009765624996,3.265658562008061,8
61,23,-0.13762499999999997,3.6651874999999996,16.249187499999998,0.796875,0.14375,74.77168989062503,0.31875,-0.2248822541854636,20.39113725490196,2.6533049637425234,13
62,47,-2.242625,3.1899375,1.8748749999999998,1.375,0.29375,0.17368056250000008,0.03125,-0.6090396907412785,1.3635454545454544,3.127216503868572,1
63,77,0.33831249999999996,2.9403750000000004,11.874312499999998,1.1063829787234043,0.48125,10.82251159895833,0.16875,-0.32822055777588105,10.732551682692307,3.3644515906680983,8
64,24,1.9110624999999999,3.4628750000000004,29.999374999999997,0.631578947368421,0.15,7.869490854166656,0.46875,-0.45052523025845526,47.499010416666664,2.3976987215825236,38
65,16,-1.254125,3.6071874999999998,6.249499999999999,1.2857142857142858,0.1,9.489675958333336,0.0875,-0.09883202927365053,4.860722222222221,2.599302060676402,2
66,121,6.2178125,2.54925,67.292,0.35374149659863946,0.75625,56.195509375,0.85625,-0.6860232524002553,190.2293076923077,3.602524714308176,113
67,134,6.7291875,2.7850625,73.3339375,0.5414012738853503,0.8375,24.075648182291662,0.8625,-0.697077719523329,135.45209632352942,3.648370235218791,127
68,30,0.0578125,3.2784375,12.499187499999996,1.0588235294117647,0.1875,24.535185265625007,0.19375,-0.26049169262220756,11.804788194444441,2.8867745030787932,7
69,23,0.5774374999999997,3.6045000000000003,23.957874999999998,0.7297297297297297,0.14375,12.674236270833335,0.375,0.175586840624214,32.83116203703704,2.6680787896100515,31
70,110,4.721375,2.6586875,57.0834375,0.463768115942029,0.6875,3.935578807291647,0.76875,-0.771304117251284,123.08616210937501,3.542455520196059,93
