Subject,SignalDetected,AvgPower,PowerVariability,DetectedTimePercentage,DetectionTime,DetectionRate,DetectionPctVar,EarlyDetectionRatio,PowerSkewness,RobustnessIndex,FreqEntropy,StrongResponses
1,81,8.8931875,0.0,88.75,0.0,0.50625,35.416666666666664,0.8875,-1.295049244176192,0.0,3.3181504392999126,142
2,46,1.161,0.0,18.75,0.0,0.2875,27.083333333333332,0.1875,-0.25493473704646724,0.0,3.1616430308706556,30
3,130,8.12875,0.0,84.375,0.0,0.8125,43.229166666666664,0.84375,-1.1299207647573677,0.0,3.604972260925469,135
4,34,-2.0776874999999997,0.0,3.75,0.0,0.2125,10.416666666666666,0.0375,-0.9027550849501552,0.0,2.9247541817777023,6
5,34,-0.06262500000000007,0.0,18.75,0.0,0.2125,2.0833333333333335,0.1875,-0.5453202434787427,0.0,2.924754179548211,30
6,29,-1.6199999999999999,0.0,8.75,0.0,0.18125,10.416666666666666,0.0875,-0.4256015774923536,0.0,2.984869853974686,14
7,35,2.9093124999999995,0.0,43.75,0.0,0.21875,52.083333333333336,0.4375,-0.9565635297607545,0.0,2.9709304689006797,70
8,78,0.09949999999999996,0.0,15.0,0.0,0.4875,41.666666666666664,0.15,-1.3681554176995268,0.0,3.472067524121967,24
9,121,2.8545625,0.0,30.0,0.0,0.75625,29.166666666666668,0.3,-0.969835435000978,0.0,3.6180820732553105,48
10,92,5.8603749999999994,0.0,65.0,0.0,0.575,50.0,0.65,-1.4129264501148366,0.0,3.4891601380304715,104
11,6,-3.59,0.0,2.5,0.0,0.0375,25.0,0.025,-0.5801223824561106,0.0,1.7917599301993965,4
12,23,-0.8458124999999999,0.0,9.375,0.0,0.14375,5.729166666666667,0.09375,-0.9589150375380324,0.0,2.69082870869587,15
13,34,1.2836875,0.0,24.375,0.0,0.2125,22.395833333333332,0.24375,-1.485847336142667,0.0,3.1032372771963757,39
14,60,2.4675625000000005,0.0,30.625,0.0,0.375,9.895833333333334,0.30625,-0.6132996042423773,0.0,3.3257676756495433,49
15,62,5.1365,0.0,56.875,0.0,0.3875,101.5625,0.56875,-0.8787708860280752,0.0,3.3247110268473627,91
16,106,3.4956875,2.6903125,41.041125,0.752,0.6625,0.6369677291666636,0.61875,-0.724927414478175,54.57596409574468,3.5122975329892414,57
17,25,5.046437500000001,3.763125,55.625125000000004,0.722972972972973,0.15625,18.692800937500014,0.75,-0.12865242809099525,76.93942523364487,2.788853625907483,91
18,157,8.304875,1.8691875,90.41731250000001,0.15723270440251572,0.98125,5.786226973958339,0.975,-11.254806163591882,575.0541075000001,3.6864427732276503,155
19,119,6.561875000000001,2.4184375,71.8759375,0.33766233766233766,0.74375,9.898229432291675,0.89375,-0.7863162899285576,212.86335336538465,3.5919572848259187,130
20,40,4.679125,3.7298125,52.708375000000004,0.6690140845070423,0.25,0.6365510625000028,0.7625,-0.2266079973476222,78.78515,3.19059525365112,85
21,54,0.9948125000000001,3.4338125000000006,19.790687499999997,1.2207792207792207,0.3375,4.3401042656249995,0.275,-0.5791078471582634,16.211520611702127,3.385438346032063,16
22,52,3.0461875,2.8203125,34.79125,0.8611111111111112,0.325,59.90250029166666,0.4875,-0.694929450022543,40.40274193548387,3.1444027615503307,49
23,156,6.95025,2.0396875,79.7925625,0.3525641025641026,0.975,14.523182973958328,0.94375,-2.9401404690354433,226.3207227272727,3.685691036325055,142
24,52,3.673375,3.1900000000000004,44.1666875,0.6875,0.325,4.167639140624993,0.675,-1.1049643031568464,64.24245454545455,3.334547187867419,71
25,127,8.035562500000001,2.3923125,76.87525000000001,0.28378378378378377,0.79375,3.8769907916666515,0.8625,-0.7953498553108479,270.8937380952382,3.542329379740169,127
26,66,0.19618750000000001,3.193625,14.374312500000002,0.7142857142857143,0.4125,14.061215390625007,0.2625,-0.5817837223864567,20.1240375,3.5198809360069085,12
27,42,0.86625,3.1270625,19.166,0.7941176470588235,0.2625,27.773889041666667,0.33125,-0.6718212526170303,24.134962962962963,3.1516339240591833,20
28,144,18.744875,2.2888125,98.54175000000001,0.00625,0.9,1.5623611249999971,1.0,-1.3378270471333749,15766.68,3.669974127274066,159
29,99,5.015874999999999,3.042,58.7504375,0.4097222222222222,0.61875,36.351227390625,0.81875,-0.6846094399593677,143.39089830508476,3.607499592241317,101
30,113,6.4234375,2.8888125000000002,67.91731250000001,0.45454545454545453,0.70625,88.199097390625,0.875,-1.3028045990090138,149.41808750000004,3.579961485315172,119
31,30,-2.0284375,3.0675,3.1246874999999994,1.0,0.1875,8.042372765624998,0.08125,-0.44666871831589394,3.1246874999999994,2.9966357260829666,0
32,9,-5.5935625,3.317,0.20831249999999998,2.0,0.05625,0.17357639062499997,0.0,-0.021847147135286866,0.10415624999999999,2.1972248575344877,0
33,16,-2.0491875,3.6691875000000005,4.999687499999999,1.1904761904761905,0.1,3.240092640625001,0.08125,-0.45899601846386856,4.1997374999999995,2.3933122685048627,3
34,30,-0.09543750000000015,3.654000000000001,16.457437499999997,0.7878787878787878,0.1875,13.137419015625001,0.29375,-0.5352412891765379,20.88828605769231,2.80046988701925,12
35,44,7.2421875,3.6761250000000003,70.625625,0.32450331125827814,0.275,7.5821065208333565,0.9,-0.42129026819914256,217.64223214285715,3.1064878495066903,123
36,66,0.7679375,2.770375,12.915812499999998,1.0909090909090908,0.4125,13.658356515625004,0.21875,-0.7230442349828903,11.839494791666665,3.3332097127218088,7
37,108,4.652125,2.6760624999999996,55.416875000000005,0.7943262411347518,0.675,53.01671322916665,0.68125,-1.0358243832817848,69.76588727678572,3.547462210578251,92
38,42,1.1510000000000002,3.3169374999999994,20.83225,1.1686746987951808,0.2625,30.556111166666657,0.30625,-1.0104545166960075,17.825533505154638,3.1846409306606946,16
39,17,-1.4998125000000002,3.3938125,4.7914375,1.2222222222222223,0.10625,1.0994560572916667,0.0625,-0.2449165087014324,3.920267045454545,2.751666732379996,4
40,49,2.852875,3.6244375000000004,37.9166875,0.7321428571428571,0.30625,73.38613447395835,0.58125,-0.35062173362933124,51.78864634146342,3.2266883085606493,61
41,8,-4.754687499999999,3.8696875000000004,0.41662499999999997,1.0,0.05,0.23143518749999994,0.00625,-0.4072996630570797,0.41662499999999997,1.906155085219035,0
42,129,3.536812500000001,2.5271250000000003,42.29125,1.0952380952380953,0.80625,15.457083875,0.5125,-1.3995726563714876,38.613749999999996,3.6170682205599594,61
43,43,0.07299999999999987,3.6884375,17.2909375,1.0615384615384615,0.26875,17.301724640624997,0.2625,-0.3949938047231868,16.2885643115942,3.1766245934281248,16
44,26,-1.0553750000000002,3.9741875,15.4163125,0.8703703703703703,0.1625,18.750347265624992,0.24375,-5.400064589702255,17.712359042553192,2.864738579613086,19
45,18,-1.1885,3.3320625,4.1663749999999995,1.0,0.1125,0.4630092708333338,0.06875,-1.142368847379286,4.1663749999999995,2.7363391606300267,2
46,25,-2.007125,3.5855625000000004,8.541125,0.75,0.15625,10.356551104166664,0.16875,-0.38282190579727116,11.388166666666665,2.754331780531192,5
47,30,-0.038625,3.1758125,9.374374999999999,0.875,0.1875,4.803356520833334,0.1875,-0.7129938757056292,10.713571428571427,3.1064969490871404,5
48,47,-1.4283749999999997,3.0605625000000005,4.1663749999999995,1.2352941176470589,0.29375,11.110555562500002,0.05625,-0.4351601281702249,3.3727797619047615,3.1233133109138986,2
49,84,2.383625,2.6610625000000003,30.416312499999997,0.5111111111111111,0.525,27.085208515625016,0.5,-0.3551460899714126,59.510176630434785,3.3596276709243735,43
50,57,2.9745000000000004,3.508,38.3329375,0.7272727272727273,0.35625,10.648240807291657,0.54375,-0.4555803479291646,52.7077890625,3.3799486841166884,55
51,98,3.5618749999999997,2.383,44.375125,0.6991150442477876,0.6125,4.338958437499993,0.56875,-0.9929383329864466,63.473280063291135,3.4476827994756216,73
52,23,-1.349375,3.4081250000000005,10.4161875,1.05,0.14375,14.122060265625004,0.1625,0.06293775161315077,9.92017857142857,2.7738522918208544,9
53,19,1.1002499999999997,3.564875,25.208000000000002,0.7435897435897436,0.11875,8.970787208333332,0.3875,-0.05181396906016677,33.90041379310345,2.4240438038222205,35
54,49,1.4510625,3.5037499999999993,24.790812499999998,0.8372093023255814,0.30625,10.820497765625012,0.41875,-0.4122847141150678,29.611248263888886,3.226688307013655,26
